bedienen	VB	управля́ть imperf, обслу́живать	trans		ohne ge-	
Bedienungsanleitung	N	руково́дство  nt  по эксплуата́ции		f		<-, -en>
Bedingung	N	усло́вие nt		f		<-, -en>
beenden	VB	ока́нчивать, око́нчить perf, заверша́ть	trans		ohne ge-	
befriedigend	ADJ	удовлетвори́тельно				
begegnen	VB	встреча́ть, встре́тить perf	intr		ohne ge-	
begeistert	ADJ	восто́рженный				
beginnen	VB	начина́ть	trans		beginnt, begann, begonnen	
Beginn	N	нача́ло nt		m	kein pl	<-(e)s>
begleiten	VB	провожа́ть, сопровожда́ть	trans		ohne ge-	
begrenzt	ADJ	ограни́ченный				
begründen	VB	обосно́вывать	trans		ohne ge-	
Begründung	N	основа́ние nt		f		<-, -en>
begrüßen	VB	здоро́ваться, по- perf, приве́тствовать	trans		ohne ge-	
behalten	VB	оставля́ть	trans		irreg, ohne ge-	
behandeln	VB	обраща́ться imperf, обходи́ться, обойти́сь perf	trans		ohne ge-	
behaupten	VB	утвержда́ть imperf, отста́ивать	trans		ohne ge-	
behindern	VB	препя́тствовать, вос- perf	trans		ohne ge-	
behindert	ADJ	нера́звитый				
Behörde	N	о́рганы pl, инста́нция f, власть f		f		<-, -n>
bei	PREP	у, во́зле, при			+dat	
Bein	N	нога́ f		nt		<-(e)s, -e>
beinahe	ADV	чуть не, почти́				
Beispiel	N	приме́р m		nt		<-s, -e>
beißen	VB	отку́сывать, откуси́ть perf, надку́сывать	intr, trans		beißt, biss, gebissen	
Beitrag	N	до́ля f, часть f		m	pl:	<-(e)s, Beiträge>
bekannt	ADJ	знако́мый, изве́стный				
Bekannte	N	знако́мый m, знако́мая f		m o f		<ein -r, -n, -n>
bekannt geben	VB	объявля́ть, оглаша́ть	trans		irreg	
bekommen	VB	получа́ть	trans		irreg	
Beleg	N	квита́нция f, распи́ска f		m	pl:	<-(e)s, -e>
beleidigen	VB	оскорбля́ть	trans		ohne ge-	
beliebt	ADJ	люби́мый, популя́рный				
bemerken	VB	замеча́ть	trans		ohne ge-	
benötigen	VB	нужда́ться imperf	trans		ohne ge-	
benutzen	VB	по́льзоваться, вос- perf, испо́льзовать (н)perf	trans		ohne ge-	
Benzin	N	бензи́н m		nt		<-s, -e>
beobachten	VB	наблюда́ть imperf	trans		ohne ge-	
bequem	ADJ	удо́бный, ую́тный				
beraten	VB	помога́ть	trans		irreg, ohne ge-	
Beratung	N	консульта́ция f		f		<-, -en>
berechnen	VB	вычисля́ть, вы́числить perf	trans		ohne ge-	
bereits	ADV	уже́				
Berg	N	гора́ f		m	pl:	<-(e)s, -e>
berichten	VB	докла́дывать, доложи́ть perf	trans		ohne ge-	
Bericht	N	докла́д m, сообще́ние nt		m		<-(e)s, -e>
Beruf	N	профе́ссия f, специа́льность f		m		<-(e)s, -e>
beruflich	ADJ	служе́бный, профессиона́льный				
berufstätig	ADJ	рабо́тающий, за́нятый				
beruhigen	VB	успока́ивать, усмиря́ть	trans		ohne ge-	
berühmt	ADJ	знамени́тый				
beschädigen	VB	поврежда́ть	trans		ohne ge-	
beschäftigen	VB	занима́ть	trans		ohne ge-	
Beschäftigung	N	заня́тие nt		f		<-, -en>
Bescheid	N	спра́вка f, реше́ние nt		m	pl:	<-(e)s, -e>
beschließen	VB	реша́ть, постановля́ть	trans		irreg, ohne ge-	
beschränken	VB	ограни́чивать	trans		ohne ge-	
beschreiben	VB	опи́сывать	trans		irreg, ohne ge-	
Beschreibung	N	описа́ние nt		f		<-, -en>
besetzen	VB	распределя́ть	trans		ohne ge	
besichtigen	VB	осма́тривать	trans		ohne ge-	
besitzen	VB	владе́ть imperf	trans		irreg, ohne ge-	
besichtigen	VB	осма́тривать	trans		ohne ge-	
besonders	ADV	осо́бо				
besorgen	VB	достава́ть, покупа́ть	trans		ohne ge-	
besprechen	VB	обсужда́ть	trans		irreg, ohne ge-	
Besprechung	N	совеща́ние nt		f		<-, -en>
Besserung	N	улучше́ние nt		f		<-, -en>
